"Date";"Valeurs"
"02/01/2018";3979.53
"03/01/2018";4005.61
"04/01/2018";4057.92
"05/01/2018";4097.04
"08/01/2018";4114.53
"09/01/2018";4141.64
"10/01/2018";4157.55
"11/01/2018";4155.31
"12/01/2018";4164.12
"15/01/2018";4164.45
"16/01/2018";4163.96
"17/01/2018";4148.6
"18/01/2018";4142.06
"19/01/2018";4159.09
"22/01/2018";4176.88
"23/01/2018";4161.99
"24/01/2018";4146.75
"25/01/2018";4144.23
"26/01/2018";4162.01
"29/01/2018";4155.19
"30/01/2018";4126.57
"31/01/2018";4111.65
"01/02/2018";4103.63
"02/02/2018";4053.59
"05/02/2018";3997.59
"06/02/2018";3896.59
"07/02/2018";3991.9
"08/02/2018";3911.96
"09/02/2018";3876.33
"12/02/2018";3918.18
"13/02/2018";3884.71
"14/02/2018";3892.16
"15/02/2018";3910.11
"16/02/2018";3941.19
"19/02/2018";3922.46
"20/02/2018";3938.62
"21/02/2018";3950.27
"22/02/2018";3978.85
"23/02/2018";3972.53
"26/02/2018";3992.5
"27/02/2018";4010.17
"28/02/2018";3994.45
"01/03/2018";3943.85
"02/03/2018";3869.18
"05/03/2018";3907.04
"06/03/2018";3916.41
"07/03/2018";3929.2
"08/03/2018";3974.52
"09/03/2018";3987.04
"12/03/2018";4002.47
"13/03/2018";3970.47
"14/03/2018";3929.31
"15/03/2018";3950.78
"16/03/2018";3961.55
"19/03/2018";3920.64
"20/03/2018";3935.78
"21/03/2018";3925.78
"22/03/2018";3858.5
"23/03/2018";3816.96
"26/03/2018";3797.02
"27/03/2018";3824.42
"28/03/2018";3852.37
"29/03/2018";3857.1
"03/04/2018";3831.43
"04/04/2018";3808.28
"05/04/2018";3889.02
"06/04/2018";3870.07
"09/04/2018";3870.65
"10/04/2018";3887.91
"11/04/2018";3856.6
"12/04/2018";3883.82
"13/04/2018";3888.32
"16/04/2018";3868.18
"17/04/2018";3899.72
"18/04/2018";3910.46
"19/04/2018";3911.78
"20/04/2018";3921.2
"23/04/2018";3933.64
"24/04/2018";3931.59
"25/04/2018";3893.07
"26/04/2018";3908.15
"27/04/2018";3912.92
"30/04/2018";3910.3
"02/05/2018";3920.9
"03/05/2018";3871.94
"04/05/2018";3894.6
"07/05/2018";3889.26
"08/05/2018";3910.63
"09/05/2018";3893
"10/05/2018";3884.54
"11/05/2018";3884.4
"14/05/2018";3885.74
"15/05/2018";3876.57
"16/05/2018";3857.69
"17/05/2018";3898.57
"18/05/2018";3891.11
"21/05/2018";3904.98
"22/05/2018";3916.78
"23/05/2018";3887.18
"24/05/2018";3860.06
"25/05/2018";3857.06
"28/05/2018";3832.86
"29/05/2018";3760.51
"30/05/2018";3784.65
"31/05/2018";3764.22
"01/06/2018";3809.22
"04/06/2018";3834.9
"05/06/2018";3799.15
"06/06/2018";3791.13
"07/06/2018";3791.97
"08/06/2018";3770.97
"11/06/2018";3814.28
"12/06/2018";3816.79
"13/06/2018";3813.94
"14/06/2018";3830.53
"15/06/2018";3803.26
"18/06/2018";3762.96
"19/06/2018";3745.8
"20/06/2018";3750.15
"21/06/2018";3727.54
"22/06/2018";3763.57
"25/06/2018";3710.49
"26/06/2018";3709.84
"27/06/2018";3729.11
"28/06/2018";3702.24
"29/06/2018";3719.86
"02/07/2018";3697.28
"03/07/2018";3715.36
"04/07/2018";3720.1
"05/07/2018";3747.23
"06/07/2018";3770.67
"09/07/2018";3797.06
"10/07/2018";3803.54
"11/07/2018";3779.78
"12/07/2018";3801.34
"13/07/2018";3804.08
"16/07/2018";3806.67
"17/07/2018";3817.64
"18/07/2018";3820.41
"19/07/2018";3809.43
"20/07/2018";3815.16
"23/07/2018";3832.28
"24/07/2018";3862.47
"25/07/2018";3863.86
"26/07/2018";3874.95
"27/07/2018";3925.63
"30/07/2018";3915.53
"31/07/2018";3899.04
"01/08/2018";3894.62
"02/08/2018";3862.26
"03/08/2018";3874.11
"06/08/2018";3866.55
"07/08/2018";3884.33
"08/08/2018";3863.68
"09/08/2018";3888.81
