Dates;Valeurs
2018-01-02;5288.600098
2018-01-03;5331.279785
2018-01-04;5413.689941
2018-01-05;5470.75
2018-01-08;5487.419922
2018-01-09;5523.939941
2018-01-10;5504.680176
2018-01-11;5488.549805
2018-01-12;5517.060059
2018-01-15;5509.689941
2018-01-16;5513.819824
2018-01-17;5493.990234
2018-01-18;5494.830078
2018-01-19;5526.509766
2018-01-22;5541.990234
2018-01-23;5535.259766
2018-01-24;5495.160156
2018-01-25;5481.209961
2018-01-26;5529.149902
2018-01-29;5521.589844
2018-01-30;5473.779785
2018-01-31;5481.930176
2018-02-01;5454.549805
2018-02-02;5364.97998
2018-02-05;5285.830078
2018-02-06;5161.810059
2018-02-07;5255.899902
2018-02-08;5151.680176
2018-02-09;5079.209961
2018-02-12;5140.060059
2018-02-13;5109.240234
2018-02-14;5165.259766
2018-02-15;5222.52002
2018-02-16;5281.580078
2018-02-19;5256.180176
2018-02-20;5289.859863
2018-02-21;5302.169922
2018-02-22;5309.22998
2018-02-23;5317.370117
2018-02-26;5344.259766
2018-02-27;5343.930176
2018-02-28;5320.490234
2018-03-01;5262.560059
2018-03-02;5136.580078
2018-03-05;5167.22998
2018-03-06;5170.22998
2018-03-07;5187.830078
2018-03-08;5254.100098
2018-03-09;5274.399902
2018-03-12;5276.709961
2018-03-13;5242.790039
2018-03-14;5233.359863
2018-03-15;5267.259766
2018-03-16;5282.75
2018-03-19;5222.839844
2018-03-20;5252.430176
2018-03-21;5239.740234
2018-03-22;5167.209961
2018-03-23;5095.220215
2018-03-26;5066.279785
2018-03-27;5115.740234
2018-03-28;5130.439941
2018-03-29;5167.299805
2018-04-03;5152.120117
2018-04-04;5141.799805
2018-04-05;5276.669922
2018-04-06;5258.240234
2018-04-09;5263.390137
2018-04-10;5307.560059
2018-04-11;5277.939941
2018-04-12;5309.220215
2018-04-13;5315.02002
2018-04-16;5312.959961
2018-04-17;5353.540039
2018-04-18;5380.169922
2018-04-19;5391.640137
2018-04-20;5412.830078
2018-04-23;5438.549805
2018-04-24;5444.160156
2018-04-25;5413.299805
2018-04-26;5453.580078
2018-04-27;5483.189941
2018-04-30;5520.5
2018-05-02;5529.220215
2018-05-03;5501.660156
2018-05-04;5516.049805
2018-05-07;5531.419922
2018-05-08;5521.930176
2018-05-09;5534.629883
2018-05-10;5545.950195
2018-05-11;5541.939941
2018-05-14;5540.680176
2018-05-15;5553.160156
2018-05-16;5567.540039
2018-05-17;5621.919922
2018-05-18;5614.509766
2018-05-21;5637.509766
2018-05-22;5640.100098
2018-05-23;5565.850098
2018-05-24;5548.450195
2018-05-25;5542.549805
2018-05-28;5508.930176
2018-05-29;5438.060059
2018-05-30;5427.350098
2018-05-31;5398.399902
2018-06-01;5465.529785
2018-06-04;5472.910156
2018-06-05;5460.950195
2018-06-06;5457.560059
2018-06-07;5448.359863
2018-06-08;5450.220215
2018-06-11;5473.910156
2018-06-12;5453.370117
2018-06-13;5452.72998
2018-06-14;5528.459961
2018-06-15;5501.879883
2018-06-18;5450.47998
2018-06-19;5390.629883
2018-06-20;5372.310059
2018-06-21;5316.009766
2018-06-22;5387.379883
2018-06-25;5283.859863
2018-06-26;5281.290039
2018-06-27;5327.200195
2018-06-28;5275.640137
2018-06-29;5323.529785
2018-07-02;5276.759766
2018-07-03;5316.77002
2018-07-04;5320.5
2018-07-05;5366.319824
2018-07-06;5375.77002
2018-07-09;5398.109863
2018-07-10;5434.359863
2018-07-11;5353.930176
2018-07-12;5405.899902
2018-07-13;5429.200195
2018-07-16;5409.430176
2018-07-17;5422.540039
2018-07-18;5447.439941
2018-07-19;5417.069824
2018-07-20;5398.319824
2018-07-23;5378.25
2018-07-24;5434.189941
2018-07-25;5426.410156
2018-07-26;5480.549805
2018-07-27;5511.759766
2018-07-30;5491.220215
2018-07-31;5511.299805
2018-08-01;5498.370117
2018-08-02;5460.97998
2018-08-03;5478.97998
2018-08-06;5477.180176
2018-08-07;5521.310059
2018-08-08;5501.899902
2018-08-09;5502.25
2018-08-10;5414.680176
2018-08-13;5412.319824
2018-08-14;5403.410156
2018-08-15;5305.220215
2018-08-16;5349.02002
2018-08-17;5344.930176
2018-08-20;5379.649902
2018-08-21;5408.600098
2018-08-22;5420.609863
2018-08-23;5419.330078
2018-08-24;5432.5
2018-08-27;5479.100098
2018-08-28;5484.990234
2018-08-29;5501.330078
2018-08-30;5478.060059
2018-08-31;5406.850098
2018-09-03;5413.799805
2018-09-04;5342.700195
2018-09-05;5260.220215
2018-09-06;5243.839844
2018-09-07;5252.220215
2018-09-10;5269.629883
2018-09-11;5283.790039
2018-09-12;5332.129883
2018-09-13;5328.120117
2018-09-14;5352.569824
2018-09-17;5348.870117
2018-09-18;5363.790039
2018-09-19;5393.740234
2018-09-20;5451.589844
2018-09-21;5494.169922
2018-09-24;5476.169922
2018-09-25;5479.100098
2018-09-26;5512.72998
2018-09-27;5540.410156
2018-09-28;5493.490234
2018-10-01;5506.819824
2018-10-02;5467.890137
2018-10-03;5491.399902
2018-10-04;5410.850098
2018-10-05;5359.359863
2018-10-08;5300.25
2018-10-09;5318.549805
2018-10-10;5206.220215
2018-10-11;5106.370117
2018-10-12;5095.97998
2018-10-15;5095.069824
2018-10-16;5173.049805
2018-10-17;5144.950195
2018-10-18;5116.790039
2018-10-19;5084.660156
2018-10-22;5053.310059
2018-10-23;4967.689941
2018-10-24;4953.089844
2018-10-25;5032.299805
2018-10-26;4967.370117
2018-10-29;4989.350098
2018-10-30;4978.529785
2018-10-31;5093.439941
2018-11-01;5085.779785
2018-11-02;5102.129883
2018-11-05;5101.390137
2018-11-06;5075.189941
2018-11-07;5137.939941
2018-11-08;5131.450195
2018-11-09;5106.75
2018-11-12;5059.089844
2018-11-13;5101.850098
2018-11-14;5068.850098
2018-11-15;5033.620117
2018-11-16;5025.200195
2018-11-19;4985.450195
2018-11-20;4924.890137
2018-11-21;4975.5
2018-11-22;4938.140137
2018-11-23;4946.950195
2018-11-26;4994.97998
2018-11-27;4983.149902
2018-11-28;4983.240234
2018-11-29;5006.25
2018-11-30;5003.919922
2018-12-03;5053.97998
2018-12-04;5012.660156
2018-12-05;4944.370117
2018-12-06;4780.459961
2018-12-07;4813.129883
2018-12-10;4742.379883
2018-12-11;4806.200195
2018-12-12;4909.450195
2018-12-13;4896.919922
2018-12-14;4853.700195
2018-12-17;4799.870117
2018-12-18;4754.080078
2018-12-19;4777.450195
2018-12-20;4692.459961
2018-12-21;4694.379883
2018-12-24;4626.390137
2018-12-27;4598.609863
2018-12-28;4678.740234
2018-12-31;4730.689941
2019-01-02;4689.390137
2019-01-03;4611.490234
2019-01-04;4737.120117
2019-01-07;4719.169922
2019-01-08;4773.27002
2019-01-09;4813.580078
2019-01-10;4805.660156
2019-01-11;4781.339844
2019-01-14;4762.75
2019-01-15;4786.169922
2019-01-16;4810.740234
2019-01-17;4794.370117
2019-01-18;4875.930176
2019-01-21;4867.779785
2019-01-22;4847.529785
2019-01-23;4840.379883
2019-01-24;4871.959961
2019-01-25;4925.819824
2019-01-28;4888.580078
2019-01-29;4928.180176
2019-01-30;4974.759766
2019-01-31;4992.720215
2019-02-01;5019.259766
2019-02-04;5000.189941
2019-02-05;5083.339844
2019-02-06;5079.049805
2019-02-07;4985.560059
2019-02-08;4961.640137
2019-02-11;5014.470215
2019-02-12;5056.350098
2019-02-13;5074.27002
2019-02-14;5062.52002
2019-02-15;5153.189941
2019-02-18;5168.540039
2019-02-19;5160.52002
2019-02-20;5195.950195
2019-02-21;5196.109863
2019-02-22;5215.850098
2019-02-25;5231.850098
2019-02-26;5238.720215
2019-02-27;5225.350098
2019-02-28;5240.529785
2019-03-01;5265.189941
2019-03-04;5286.569824
2019-03-05;5297.52002
2019-03-06;5288.810059
2019-03-07;5267.919922
2019-03-08;5231.220215
2019-03-11;5265.959961
2019-03-12;5270.25
2019-03-13;5306.379883
2019-03-14;5349.779785
2019-03-15;5405.319824
2019-03-18;5412.830078
2019-03-19;5425.899902
2019-03-20;5382.660156
2019-03-21;5378.850098
2019-03-22;5269.919922
2019-03-25;5260.640137
2019-03-26;5307.379883
2019-03-27;5301.240234
2019-03-28;5296.540039
2019-03-29;5350.529785
2019-04-01;5405.529785
2019-04-02;5423.470215
2019-04-03;5468.910156
2019-04-04;5463.799805
2019-04-05;5476.200195
2019-04-08;5471.779785
2019-04-09;5436.419922
2019-04-10;5449.879883
2019-04-11;5485.720215
2019-04-12;5502.700195
2019-04-15;5508.72998
2019-04-16;5528.669922
2019-04-17;5563.089844
2019-04-18;5580.379883
2019-04-23;5591.689941
2019-04-24;5576.060059
2019-04-25;5557.669922
2019-04-26;5569.359863
2019-04-29;5580.97998
2019-04-30;5586.410156
2019-05-02;5538.859863
2019-05-03;5548.839844
2019-05-06;5483.52002
2019-05-07;5395.75
2019-05-08;5417.589844
2019-05-09;5313.160156
2019-05-10;5327.439941
2019-05-13;5262.569824
2019-05-14;5341.350098
2019-05-15;5374.259766
2019-05-16;5448.109863
2019-05-17;5438.22998
2019-05-20;5358.589844
2019-05-21;5385.459961
2019-05-22;5378.97998
2019-05-23;5281.370117
2019-05-24;5316.509766
2019-05-27;5336.189941
2019-05-28;5312.689941
2019-05-29;5222.120117
2019-05-30;5248.910156
2019-05-31;5207.629883
2019-06-03;5241.459961
2019-06-04;5268.259766
2019-06-05;5292
2019-06-06;5278.430176
2019-06-07;5364.049805
2019-06-10;5382.5
2019-06-11;5408.450195
2019-06-12;5374.919922
2019-06-13;5375.629883
2019-06-14;5367.620117
2019-06-17;5390.950195
2019-06-18;5509.72998
2019-06-19;5518.450195
2019-06-20;5535.569824
2019-06-21;5528.330078
2019-06-24;5521.709961
2019-06-25;5514.569824
2019-06-26;5500.720215
2019-06-27;5493.609863
2019-06-28;5538.970215
2019-07-01;5567.910156
2019-07-02;5576.819824
2019-07-03;5618.810059
2019-07-04;5620.72998
2019-07-05;5593.720215
2019-07-08;5589.189941
2019-07-09;5572.100098
2019-07-10;5567.589844
2019-07-11;5551.950195
2019-07-12;5572.859863
2019-07-15;5578.209961
2019-07-16;5614.379883
2019-07-17;5571.709961
2019-07-18;5550.549805
2019-07-19;5552.339844
2019-07-22;5567.02002
2019-07-23;5618.160156
2019-07-24;5605.870117
2019-07-25;5578.049805
2019-07-26;5610.049805
2019-07-29;5601.100098
2019-07-30;5511.069824
2019-07-31;5518.899902
2019-08-01;5557.410156
2019-08-02;5359
2019-08-05;5241.549805
2019-08-06;5234.649902
2019-08-07;5266.509766
2019-08-08;5387.959961
2019-08-09;5327.919922
2019-08-12;5310.310059
2019-08-13;5363.069824
2019-08-14;5251.299805
2019-08-15;5236.930176
2019-08-16;5300.790039
2019-08-19;5371.560059
2019-08-20;5344.640137
2019-08-21;5435.47998
2019-08-22;5388.25
2019-08-23;5326.870117
2019-08-26;5351.02002
2019-08-27;5387.089844
2019-08-28;5368.799805
2019-08-29;5449.970215
2019-08-30;5480.47998
2019-09-02;5493.040039
2019-09-03;5466.069824
2019-09-04;5532.069824
2019-09-05;5593.370117
2019-09-06;5603.990234
2019-09-09;5588.950195
2019-09-10;5593.209961
2019-09-11;5618.060059
2019-09-12;5642.859863
2019-09-13;5655.459961
2019-09-16;5602.22998
2019-09-17;5615.509766
2019-09-18;5620.649902
2019-09-19;5659.080078
2019-09-20;5690.779785
2019-09-23;5630.759766
2019-09-24;5628.330078
2019-09-25;5583.799805
2019-09-26;5620.569824
2019-09-27;5640.580078
2019-09-30;5677.790039
2019-10-01;5597.629883
2019-10-02;5422.77002
2019-10-03;5438.77002
2019-10-04;5488.319824
2019-10-07;5521.609863
2019-10-08;5456.620117
2019-10-09;5499.140137
2019-10-10;5569.049805
2019-10-11;5665.47998
2019-10-14;5643.080078
2019-10-15;5702.049805
2019-10-16;5696.899902
2019-10-17;5673.069824
2019-10-18;5636.25
2019-10-21;5648.350098
2019-10-22;5657.689941
2019-10-23;5653.439941
2019-10-24;5684.330078
2019-10-25;5722.149902
2019-10-28;5730.569824
2019-10-29;5740.140137
2019-10-30;5765.870117
2019-10-31;5729.859863
2019-11-01;5761.890137
2019-11-04;5824.299805
2019-11-05;5846.890137
2019-11-06;5866.740234
2019-11-07;5890.990234
2019-11-08;5889.700195
2019-11-11;5893.819824
2019-11-12;5919.75
2019-11-13;5907.089844
2019-11-14;5901.080078
2019-11-15;5939.27002
2019-11-18;5929.790039
2019-11-19;5909.049805
2019-11-20;5894.029785
2019-11-21;5881.209961
2019-11-22;5893.129883
2019-11-25;5924.859863
2019-11-26;5929.620117
2019-11-27;5926.839844
2019-11-28;5912.720215
2019-11-29;5905.169922
2019-12-02;5786.740234
2019-12-03;5727.220215
2019-12-04;5799.680176
2019-12-05;5801.549805
2019-12-06;5871.910156
2019-12-09;5837.25
2019-12-10;5848.029785
2019-12-11;5860.879883
2019-12-12;5884.259766
2019-12-13;5919.02002
2019-12-16;5991.660156
2019-12-17;5968.259766
2019-12-18;5959.600098
2019-12-19;5972.279785
2019-12-20;6021.529785
2019-12-23;6029.370117
2019-12-24;6029.549805
2019-12-27;6037.390137
2019-12-30;5982.220215
2019-12-31;5978.060059
2020-01-02;6041.5
2020-01-03;6044.160156
2020-01-06;6013.589844
2020-01-07;6012.350098
2020-01-08;6031
2020-01-09;6042.549805
2020-01-10;6037.109863
2020-01-13;6036.140137
2020-01-14;6040.890137
2020-01-15;6032.609863
2020-01-16;6039.029785
2020-01-17;6100.720215
2020-01-20;6078.540039
2020-01-21;6045.990234
2020-01-22;6010.97998
2020-01-23;5971.790039
2020-01-24;6024.259766
2020-01-27;5863.02002
2020-01-28;5925.819824
2020-01-29;5954.890137
2020-01-30;5871.77002
2020-01-31;5806.339844
2020-02-03;5832.509766
2020-02-04;5935.049805
2020-02-05;5985.399902
2020-02-06;6038.180176
2020-02-07;6029.75
2020-02-10;6015.669922
2020-02-11;6054.759766
2020-02-12;6104.72998
2020-02-13;6093.140137
2020-02-14;6069.350098
2020-02-17;6085.950195
2020-02-18;6056.819824
2020-02-19;6111.240234
2020-02-20;6062.299805
2020-02-21;6029.720215
2020-02-24;5791.870117
2020-02-25;5679.680176
2020-02-26;5684.549805
2020-02-27;5495.600098
2020-02-28;5309.899902
2020-03-02;5333.52002
2020-03-03;5393.169922
2020-03-04;5464.890137
2020-03-05;5361.100098
2020-03-06;5139.109863
2020-03-09;4707.910156
2020-03-10;4636.609863
2020-03-11;4610.25
2020-03-12;4044.26001
2020-03-13;4118.359863
2020-03-16;3881.459961
2020-03-17;3991.780029
2020-03-18;3754.840088
2020-03-19;3855.5
2020-03-20;4048.800049
2020-03-23;3914.310059
2020-03-24;4242.700195
2020-03-25;4432.299805
2020-03-26;4543.580078
2020-03-27;4351.490234
2020-03-30;4378.509766
2020-03-31;4396.120117
2020-04-01;4207.240234
2020-04-02;4220.959961
2020-04-03;4154.580078
2020-04-06;4346.140137
2020-04-07;4438.27002
2020-04-08;4442.75
2020-04-09;4506.850098
2020-04-14;4523.910156
2020-04-15;4353.720215
2020-04-16;4350.160156
2020-04-17;4499.009766
2020-04-20;4528.299805
2020-04-21;4357.459961
2020-04-22;4411.799805
2020-04-23;4451
2020-04-24;4393.319824
2020-04-27;4505.259766
2020-04-28;4569.790039
2020-04-29;4671.109863
2020-04-30;4572.180176
2020-05-04;4378.22998
2020-05-05;4483.129883
2020-05-06;4433.379883
2020-05-07;4501.439941
2020-05-08;4549.640137
2020-05-11;4490.220215
2020-05-12;4472.5
2020-05-13;4344.950195
2020-05-14;4273.129883
2020-05-15;4277.629883
2020-05-18;4498.339844
2020-05-19;4458.160156
2020-05-20;4496.97998
2020-05-21;4445.450195
2020-05-22;4444.560059
2020-05-25;4539.910156
2020-05-26;4606.240234
2020-05-27;4688.740234
2020-05-28;4771.390137
2020-05-29;4695.439941
2020-06-01;4762.779785
2020-06-02;4858.970215
2020-06-03;5022.379883
2020-06-04;5011.97998
2020-06-05;5197.790039
2020-06-08;5175.52002
2020-06-09;5095.109863
2020-06-10;5053.419922
2020-06-11;4815.600098
2020-06-12;4839.259766
2020-06-15;4815.720215
2020-06-16;4952.459961
2020-06-17;4995.970215
2020-06-18;4958.75
2020-06-19;4979.450195
2020-06-22;4948.700195
2020-06-23;5017.680176
2020-06-24;4871.359863
2020-06-25;4918.580078
2020-06-26;4909.640137
2020-06-29;4945.459961
2020-06-30;4935.990234
2020-07-01;4926.939941
2020-07-02;5049.379883
2020-07-03;5007.140137
2020-07-06;5081.509766
2020-07-07;5043.72998
2020-07-08;4981.129883
2020-07-09;4921.009766
2020-07-10;4970.47998
2020-07-13;5056.22998
2020-07-14;5007.459961
2020-07-15;5108.97998
2020-07-16;5085.279785
2020-07-17;5069.419922
2020-07-20;5093.180176
2020-07-21;5104.279785
2020-07-22;5037.120117
